departamento,provincia,case
AMAZONAS,BAGUA,6
AMAZONAS,UTCUBAMBA,6
ANCASH,CASMA,5
ANCASH,SANTA,3
AREQUIPA,AREQUIPA,1
AYACUCHO,LA MAR,7
AYACUCHO,SUCRE,1
CAJAMARCA,CAJAMARCA,1
CAJAMARCA,JAEN,10
CALLAO,CALLAO,2
CUSCO,LA CONVENCION,9
CUSCO,QUISPICANCHI,1
HUANUCO,LEONCIO PRADO,10
HUANUCO,PUERTO INCA,2
ICA,CHINCHA,1
ICA,ICA,3
ICA,NAZCA,1
ICA,PALPA,2
JUNIN,CHANCHAMAYO,9
JUNIN,SATIPO,4
LA LIBERTAD,ASCOPE,2
LA LIBERTAD,CHEPEN,2
LA LIBERTAD,TRUJILLO,6
LAMBAYEQUE,CHICLAYO,4
LAMBAYEQUE,FERREÃ‘AFE,2
LAMBAYEQUE,LAMBAYEQUE,3
LIMA,LIMA,9
LORETO,ALTO AMAZONAS,1
LORETO,MAYNAS,13
MADRE DE DIOS,TAMBOPATA,13
PASCO,OXAPAMPA,11
PIURA,HUANCABAMBA,1
PIURA,PIURA,10
PIURA,SULLANA,1
PIURA,TALARA,1
PUNO,CARABAYA,2
SAN MARTIN,HUALLAGA,1
SAN MARTIN,MARISCAL CACERES,2
SAN MARTIN,SAN MARTIN,8
SAN MARTIN,TOCACHE,2
TUMBES,TUMBES,12
TUMBES,ZARUMILLA,1
UCAYALI,CORONEL PORTILLO,12
